year,ori,dest,crash_city,crash_country,lat,lon,airline,death
1935,Amsterdam,Sweden,Amsterdam,Netherlands,52.3702157,4.8951679,KLM Royal Dutch Airlines,6
1938,Instructional Flight,No Record Found,Amsterdam,Netherlands,52.3702157,4.8951679,KLM Royal Dutch Airlines,4
1946,London,Amsterdam,Amsterdam,Netherlands,52.3702157,4.8951679,KLM Royal Dutch Airlines,26
1939,Berlin,Hanover,Hannover,Germany,52.3758916,9.7320104,Deutsche Lufthansa,7
1946,Paris,Shannon,Near Shannon,Ireland,52.7124708,-8.8730676,Trans Continental and Western Air,13
1947,Goose Bay,"Westover Field, MS",Near Goose Bay,Labrador,52.9718068,-60.2964313,Military - U.S. Air Force,23
1944,Liverpool,New York,Birkenhead,England,53.389991,-3.023009,Military - U.S. Army Air Forces,24
1935,Koenigberg,Berlin,Stettin,Germany,53.4285438,14.5528116,Deruluft,11
1933,Berlin,Hamburg,Hamburg,Germany,53.5510846,9.9936818,Deutsche Lufthansa,7
1945,Ridgewell,Nutts Corner,North Barrule,Isle of Man,54.2833333,-4.4,Military - U.S. Air Force,31
1938,Prague,"Paris, France",Kiel,Germany,54.3232927,10.1227652,CSA Czech Airlines,16
1944,Bristol,Preswick,Port Logan,Scotland,54.723977,-4.956053,Military - U.S. Army Air Forces,22
1947,Seattle,Juneau,Annette Island,Alaska,55.1209294,-131.4855123,Pan American World Airways,18
1930,Stettin,Norway,Bornholm,Denmark,55.160428,14.8668836,Deutsche Lufthansa,5
1946,Copenhagen,Paris,Holtug,Denmark,55.341539,12.405246,Air France,22
1948,Amsterdam,Prestwick,Prestwick Airport,Scotland,55.5089021,-4.6109806,KLM Royal Dutch Airlines,40
1947,Amsterdam,Malmo,Malmo,Sweden,55.604981,13.003822,AB Aerotransport,1
1936,Malmo,Amsterdam,Malmo,Sweden,55.604981,13.003822,A B Aerotransport,1
1947,Kobenhavn,Stockholm,Copenhagen,Denmark,55.6760968,12.5683371,KLM Royal Dutch Airlines,22
1939,London,Hamburg,Off Copenhagen,Denmark,55.6760968,12.5683371,British Airways,5
1935,Demonstration,No Record Found,Near Moscow,Russia,55.755826,37.6173,Gor'ky Eskadril'ya,50
1940,"Perth, Scotland","London, England",Near Loch Lomond,Scotland,56.1113678,-4.6288602,British Overseas Airways,3
1939,Stockholm,Amsterdam,North Sea,No Record Found,56.511018,3.515625,KLM Royal Dutch Airlines,1
1947,Anchorage,Yakutat,Yakutat,Alaska,59.5469444,-139.7272222,Columbia Air Cargo,13
1946,Northolt,Oslo,Oslo,Norway,59.9138688,10.7522454,British European Airways,3
1946,Oslo,Stockholm,Oslo,Norway,59.9138688,10.7522454,DNL,13
1936,Bergen,Trondheim,Mt. Lihesten,Norway,61.1749982,5.2144952,Den Norske Luftfartskole,7
1948,Anchorage,New York City,Mt. Sanford,Alaska,62.2138889,-144.1288889,Northwest Orient Airlines,30
1944,"Elmindorf AFB, Anchorage","Ladd Field, Fairbanks",Alaska,No Record Found,64.2008413,-149.4936733,U. S. Air Force,19
1944,Nome,Fairbanks,Near Nome,Alaska,64.5011111,-165.4063889,Pan American World Airways,6
1947,ReykjavÃ­k,Akureyri,Hjedinsfjordur,Iceland,66.1534796,-18.7519095,Flugefelag,25
1938,Moscow,Murmansk,Kandalaksha,Russia,67.1700511,32.4229656,TsAGI,13
1947,Tromso,Oslo,Harsiad,Norway,68.7986342,16.5414503,Norwegian Airlines,35
