year,origin,dest,crash_city,crash_country,lat,long,death,airline
1930,Stettin,Norway,Bornholm,Denmark,55.160428,14.8668836,5,Deutsche Lufthansa
1946,Copenhagen,Paris,Holtug,Denmark,55.341539,12.405246,22,Air France
1948,Amsterdam,Prestwick,Prestwick Airport,Scotland,55.5089021,-4.6109806,40,KLM Royal Dutch Airlines
1947,Amsterdam,Malmo,Malmo,Sweden,55.604981,13.003822,1,AB Aerotransport
1936,Malmo,Amsterdam,Malmo,Sweden,55.604981,13.003822,1,A B Aerotransport
1947,Kobenhavn,Stockholm,Copenhagen,Denmark,55.6760968,12.5683371,22,KLM Royal Dutch Airlines
1939,London,Hamburg,Off Copenhagen,Denmark,55.6760968,12.5683371,5,British Airways
1935,Demonstration,,Near Moscow,Russia,55.755826,37.6173,50,Gor'ky Eskadril'ya
1940,"Perth, Scotland","London, England",Near Loch Lomond,Scotland,56.1113678,-4.6288602,3,British Overseas Airways
1939,Stockholm,Amsterdam,North Sea,,56.511018,3.515625,1,KLM Royal Dutch Airlines
1947,Anchorage,Yakutat,Yakutat,Alaska,59.5469444,-139.7272222,13,Columbia Air Cargo
1946,Northolt,Oslo,Oslo,Norway,59.9138688,10.7522454,3,British European Airways
1946,Oslo,Stockholm,Oslo,Norway,59.9138688,10.7522454,13,DNL
1936,Bergen,Trondheim,Mt. Lihesten,Norway,61.1749982,5.2144952,7,Den Norske Luftfartskole
1948,Anchorage,New York City,Mt. Sanford,Alaska,62.2138889,-144.1288889,30,Northwest Orient Airlines
1944,"Elmindorf AFB, Anchorage","Ladd Field, Fairbanks",Alaska,,64.2008413,-149.4936733,19,U. S. Air Force
1944,Nome,Fairbanks,Near Nome,Alaska,64.5011111,-165.4063889,6,Pan American World Airways
1947,Reykjavík,Akureyri,Hjedinsfjordur,Iceland,66.1534796,-18.7519095,25,Flugefelag
1938,Moscow,Murmansk,Kandalaksha,Russia,67.1700511,32.4229656,13,TsAGI
1947,Tromso,Oslo,Harsiad,Norway,68.7986342,16.5414503,35,Norwegian Airlines
